id,fecha,ubicacion,aerolinea,ruta,tipo,total_abordo,fallecidos,fallecidos_en_tierra,anio
2390,1969-02-18,"Near Lone Pine, California",Mineral County Airlines,"Hawthorne, NV - Burbank - Long Beach",Douglas DC-3,35,35,0,1969
2391,1969-02-24,"Tainan, Taiwan",Far Eastern Air Transport,Kaohsiung - Taipei,Handley Page Dart Herald 201,36,36,0,1969
2392,1969-03-05,"San Juan, Puerto Rico",Prinair,Saint Thomas - San Juan,de Havilland DH-114 Heron 2D,19,19,0,1969
2393,1969-03-08,Atlantic Ocean,Continental Air Transport,"Halifax, NS - Santa Maria, Portugal",Douglas DC-4,3,3,0,1969
2394,1969-03-13,"Minchumina, Alaska",Wien Consolidated Airlines,Fairbanks - Bethel - Minchumina,de Havilland DHC-6,5,1,0,1969
2395,1969-03-16,"Maracaibo, Zulia, Venezuela",Venezolana Internacional de Aviacion,Maracaibo - Miami,McDonnell Douglas DC-9-32,84,84,71,1969
2396,1969-03-20,"Near Aswan, Egypt",United Arab Airlines,Jeddah - Aswan,Ilyushin IL-18D,105,100,0,1969
2397,1969-03-20,"New Orleans, Louisiana",Avion Airways,Memphis - New Orleans,Douglas DC-3,27,16,0,1969
2398,1969-04-02,"Zawoja, Poland",LOT Polish Airlines,Warsaw - Cracow,Antonov AN-24V,53,53,0,1969
2399,1969-04-02,"Near Quang Tri, South Vietnam",Military - U.S. Army,sin informacion,Boeing Vertol CH47C (helicopter),78,24,0,1969
2400,1969-04-02,"Off New Providence Island, Bahamas",Islands of the Bahamas Inc,sin informacion,Curtiss C-46F,2,2,0,1969
2401,1969-04-07,"Sept-Îles, Quebec, Canada",Air Canada,Seven Islands - Montreal,Vickers 757 Viscount,21,1,0,1969
2402,1969-04-15,"Off Chongjin, North Korea",Military - U.S. Navy,Atsuji - Atsuji,Lockheed EC-121M,31,31,0,1969
2403,1969-04-16,"Kinshasa, Zaire",Wigmo,Kinshasa - Kananga - Mbuji-Mayi,Curtiss C-46,45,45,0,1969
2404,1969-04-21,"Khulna, East Pakistan",Indian Airlines,"Silchar, India - Khulna, Bangladesh",Fokker F-27 Friendship 100,44,44,0,1969
2405,1969-04-24,"Near Takoradi, Ghana",Ghana Airways,sin informacion,Douglas DC-3,33,1,0,1969
2406,1969-05-06,"Near Chon Thanh, South Vietnam",Military - U.S. Army,sin informacion,Boeing Vertol CH47A (helicopter),74,30,0,1969
2407,1969-05-07,"Medford, New Jersey",Flying W Airways,"Medford, NJ - Allentown, PA",Curtiss C-46F,2,2,0,1969
2408,1969-05-23,"Near Lashio, Burma",Union of Burma Airways,sin informacion,Douglas C-47,6,6,0,1969
